"ID","CES_CODE","X","Y","Species","Year","Agecorrectedcode","Ntot","HS_01_AWM","HS_02_AWM","HS_04_AWM","HS_08_AWM","HS_12_AWM","HS_16_AWM","AUC"
"S001_aegcau_1999","S001",439400,4593800,"aegcau",1999,4,1,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2000","S001",439400,4593800,"aegcau",2000,3,0,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,3,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,3,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,3,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_aegcau_2001","S001",439400,4593800,"aegcau",2001,4,6,58.81,53.42,47.54,41.11,37.08,37.61,0.72
"S001_carcar_1996","S001",439400,4593800,"carcar",1996,4,2,64.70,60.21,55.80,51.25,47.17,46.77,0.69
"S001_carcar_1996","S001",439400,4593800,"carcar",1996,4,2,64.70,60.21,55.80,51.25,47.17,46.77,0.69
"S001_carcar_1996","S001",439400,4593800,"carcar",1996,3,2,64.70,60.21,55.80,51.25,47.17,46.77,0.69
"S001_carcar_1996","S001",439400,4593800,"carcar",1996,3,2,64.70,60.21,55.80,51.25,47.17,46.77,0.69
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,3,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,4,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,4,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,4,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,3,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_carchl_1996","S001",439400,4593800,"carchl",1996,3,3,59.74,56.57,53.90,51.87,49.29,49.44,0.68
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,4,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
"S001_cerbra_1996","S001",439400,4593800,"cerbra",1996,3,2,59.43,54.94,49.04,41.96,38.03,38.93,0.70
