species	buffer	estimate	standard deviation
acraru	1	-0.0167675047599799	0.0347411896650723
acraru	2	0.00763951973133413	0.0332859181860464
acraru	4	-0.0465372354036141	0.0332549472739235
acraru	8	-0.0405971771685311	0.0237011208825981
acraru	16	-0.0393441252008644	0.0109647378978675
acrsci	1	0.0662426458654266	0.0300746065647062
acrsci	2	0.121660027722642	0.046114555110493
acrsci	4	0.160683177969155	0.0661143948339537
acrsci	8	0.159557543475677	0.0681240728780549
acrsci	16	0.186778415302253	0.088144800599656
aegcau	1	-0.0110135829085737	0.00941053343515355
aegcau	2	-0.00971730575272744	0.00989551665906391
aegcau	4	-0.0159242741456965	0.0103101645265132
aegcau	8	-0.0173148589576952	0.011227457976131
aegcau	16	-0.0213318501835881	0.010999749550907
carcar	1	0.0765301064721291	0.0333516173605597
carcar	2	0.0881359082739842	0.0363343895435846
carcar	4	0.0961700379084466	0.0382780954168237
carcar	8	0.0712966447931177	0.0389328198877129
carcar	16	0.0514081388963957	0.0428843872374245
cerbra	1	0.0423058325589982	0.0233032479076516
cerbra	2	0.0321973566692143	0.0241922852120756
cerbra	4	0.00964673771956011	0.0221265286961636
cerbra	8	-0.0242238986307386	0.024035810024009
cerbra	16	-0.0193851106450632	0.0230385727580042
cetcet	1	0.0240043888786317	0.0166397625361205
cetcet	2	0.01986132078927	0.0178312456867072
cetcet	4	0.0165197907931241	0.0196816014585619
cetcet	8	0.0123853840777382	0.0198197857350325
cetcet	16	0.00171551245022843	0.0199074705353045
chlchl	1	0.0786310398357631	0.0333666284956408
chlchl	2	0.0918347671148452	0.0372728645598448
chlchl	4	0.129849927663466	0.0514148854581331
chlchl	8	0.180875636528251	0.0567555579769385
chlchl	16	0.170976823000289	0.0542405286110368
cyacae	1	-0.0183410056513681	0.0120795743707948
cyacae	2	-0.0178257081117707	0.0126354812670574
cyacae	4	-0.0129861346461429	0.0134352932989128
cyacae	8	-0.000714527656266968	0.0146992330367078
cyacae	16	0.00491420671535428	0.0149537037599516
erirub	1	0.0192917658932449	0.0154028693407982
erirub	2	0.0306095412969296	0.0188571455243131
erirub	4	0.0379456073989676	0.0184273386967229
erirub	8	0.0421999437327779	0.0137414373173146
erirub	16	0.0473497973200873	0.0118722798961214
hippol	1	0.0187458815447839	0.01760188635117
hippol	2	0.0279137299897764	0.0233372640986249
hippol	4	0.0471880921410897	0.0276509067225839
hippol	8	0.0572555371404888	0.0328903870671308
hippol	16	0.0335215591514321	0.0309683139947931
lusmeg	1	0.0035867141681639	0.0128922650918288
lusmeg	2	-0.00226658025209947	0.0178443987268257
lusmeg	4	-0.0190988660405235	0.0189840628957216
lusmeg	8	-0.0149435558045971	0.0182534066912034
lusmeg	16	-0.0148872333132023	0.0156073214717442
parmaj	1	-0.0115322167600357	0.0199480130182736
parmaj	2	-0.00960282194573157	0.0221054038730496
parmaj	4	-0.000715486325927565	0.0234330430956913
parmaj	8	0.0228312636632698	0.0243804122617607
parmaj	16	0.0436901847934342	0.0222204277752816
pasdom	1	-0.00239269978916594	0.0303911976554308
pasdom	2	-0.00862605611619379	0.0323538280017057
pasdom	4	-0.0379974759494458	0.0409561963802803
pasdom	8	-0.0273252068268433	0.0473967763149103
pasdom	16	-0.0151485384520516	0.0488937355308857
serser	1	-0.00833520531735459	0.0421153089796505
serser	2	-0.0389111216676695	0.0440677797328898
serser	4	-0.0518308766955453	0.0452946420453161
serser	8	-0.0974340434548251	0.0580846917479086
serser	16	-0.0908270356857818	0.0662230552478113
sylala	1	0.0853292401751182	0.0248096290240284
sylala	2	0.104985065899831	0.0280130018228088
sylala	4	0.104468029604309	0.031810327949521
sylala	8	0.166028401491668	0.0466956150408716
sylala	16	0.14320809645162	0.0491432064759145
sylatr	1	0.00419031885735982	0.013992531311101
sylatr	2	0.0107512667334494	0.0146545169145257
sylatr	4	0.0174335992050196	0.0144731999972504
sylatr	8	0.0247807522861661	0.0137794875560291
sylatr	16	0.0267473222011203	0.0134437716259974
sylcan	1	-0.0165489940302336	0.0224207235198104
sylcan	2	-0.00757325161938497	0.032892394437805
sylcan	4	0.00750639716991202	0.0296420848646298
sylcan	8	0.00987874066485665	0.0299028090537147
sylcan	16	0.00128776899954567	0.0314757844421852
trotro	1	-0.0314639772997191	0.0115620023835611
trotro	2	-0.0309141553131796	0.0119381293405409
trotro	4	-0.0271377398532721	0.0114865563716727
trotro	8	-0.0108248674628652	0.0134906352861748
trotro	16	0.0330975603251518	0.0203636561638367
turmer	1	0.0508787309982397	0.023123529636072
turmer	2	0.066078265588054	0.0274078700417144
turmer	4	0.0815955360108955	0.0290945804847012
turmer	8	0.108663851793619	0.0296906815753042
turmer	16	0.115127270242109	0.0286780344350219
